mr/stts/00/nerconll0000	0	0	With	UNK	O	0	0	1	0	1	3	0	0	0	0
mr/stts/00/nerconll0000	0	1	his	UNK	O	0	1	0	0	1	4	0	0	0	0
mr/stts/00/nerconll0000	0	2	interest	UNK	O	0	1	0	0	1	4	0	0	0	0
mr/stts/00/nerconll0000	0	3	in	UNK	O	0	1	1	0	1	3	0	0	0	2
mr/stts/00/nerconll0000	0	4	race	UNK	O	1	1	0	0	1	3	0	0	0	0
mr/stts/00/nerconll0000	0	5	cars,	UNK	O	_	_	_	_	1	4	_	_	_	0
mr/stts/00/nerconll0000	0	7	he	UNK	O	0	1	0	0	1	3	0	0	0	0
mr/stts/00/nerconll0000	0	8	formed	UNK	O	0	2	0	1	1	4	0	0	0	0
mr/stts/00/nerconll0000	0	9	a	UNK	O	0	1	0	1	1	2	0	1	0	2
mr/stts/00/nerconll0000	0	10	second	UNK	O	_	_	_	_	1	4	_	_	_	0
mr/stts/00/nerconll0000	0	11	company,	UNK	O	0	0	0	0	0	4	0	1	0	0
mr/stts/00/nerconll0000	0	13	the	UNK	O	0	0	0	0	1	2	0	0	0	7
mr/stts/00/nerconll0000	0	14	Henry	UNK	B-ORG	0	0	0	1	1	4	0	0	0	0
mr/stts/00/nerconll0000	0	15	Ford	UNK	I-ORG	_	_	_	_	1	4	_	_	_	0
mr/stts/00/nerconll0000	0	16	Company.	UNK	I-ORG	0	0	0	0	1	4	0	2	0	0

mr/stts/00/nerconll0000	1	0	During	UNK	O	0	0	1	1	1	3	0	0	0	0
mr/stts/00/nerconll0000	1	1	this	UNK	O	_	_	_	_	1	4	_	_	_	0
mr/stts/00/nerconll0000	1	2	period,	UNK	O	0	1	0	0	1	4	0	0	0	0
mr/stts/00/nerconll0000	1	4	he	UNK	O	_	_	_	_	1	2	_	_	_	0
mr/stts/00/nerconll0000	1	5	personally	UNK	O	1	1	0	0	1	4	0	1	0	0
mr/stts/00/nerconll0000	1	6	drove	UNK	O	1	1	0	0	1	4	0	0	0	0
